Author,Year,Week,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
26,2018,37,2,1857,764,2,0,19,09/12/2018 02:02:06,09/15/2018 00:42:11
26,2018,38,3,2238,1037,7,0,27,09/18/2018 04:58:09,09/20/2018 23:02:23
26,2018,39,2,60,39,0,0,5,09/27/2018 00:19:36,09/28/2018 16:22:22
26,2018,40,4,1340,626,6,0,20,09/30/2018 18:40:17,10/05/2018 04:43:43
26,2018,41,2,310,541,0,0,152,10/08/2018 16:58:55,10/12/2018 04:42:29
26,2018,42,1,761,603,2,0,18,10/18/2018 21:14:27,10/18/2018 21:14:27
26,2018,43,3,1122,925,2,0,20,10/23/2018 03:49:16,10/26/2018 02:51:35
26,2018,44,1,1187,3454,5,4,20,10/31/2018 04:52:36,10/31/2018 04:52:36
26,2018,46,4,2364,1628,5,1,44,11/14/2018 20:48:42,11/17/2018 00:14:15
26,2018,47,2,353,461,2,2,31,11/19/2018 23:32:06,11/21/2018 19:23:44
26,2018,48,2,989,861,0,1,57,11/26/2018 19:29:39,11/26/2018 23:43:34
26,2018,49,1,161,138,0,0,16,12/07/2018 19:02:32,12/07/2018 19:02:32
26,2018,50,1,3374,1529,20,0,34,12/13/2018 00:06:57,12/13/2018 00:06:57
26,2018,51,4,220,7180,1,11,20,12/17/2018 17:52:58,12/19/2018 15:07:15
26,2019,1,3,205,1619,1,7,19,01/02/2019 06:11:48,01/03/2019 00:01:01
26,2019,2,4,748,938,0,0,58,01/07/2019 21:00:06,01/11/2019 17:18:27
26,2019,3,1,4,5,0,0,3,01/16/2019 00:42:52,01/16/2019 00:42:52
26,2019,4,3,750,52,6,1,13,01/23/2019 18:21:59,01/25/2019 17:57:34
26,2019,5,9,781,207,10,0,97,01/28/2019 23:44:02,02/01/2019 22:14:57
26,2019,6,4,453,235,1,0,25,02/03/2019 22:18:46,02/08/2019 23:21:22
26,2019,7,5,755,294,6,0,47,02/12/2019 21:53:57,02/16/2019 00:05:33
26,2019,8,3,226,211,0,0,16,02/18/2019 01:22:43,02/20/2019 02:10:10
26,2019,9,5,906,443,2,0,48,02/24/2019 00:05:30,02/27/2019 05:04:56
26,2019,10,4,480,223,4,1,19,03/04/2019 23:45:20,03/06/2019 21:10:38
26,2019,11,6,836,799,0,0,92,03/12/2019 00:28:27,03/14/2019 17:54:04
26,2019,12,1,254,46,1,0,4,03/23/2019 00:17:23,03/23/2019 00:17:23
26,2019,13,2,2596,9128,3,33,111,03/25/2019 20:28:03,03/25/2019 21:05:27
26,2019,14,2,114,41,0,0,9,04/01/2019 23:49:51,04/05/2019 20:39:10
26,2019,15,2,169,103,3,1,5,04/12/2019 17:17:52,04/12/2019 22:08:20
26,2019,16,6,763,290,5,2,17,04/15/2019 20:59:59,04/20/2019 17:31:00
26,2019,17,3,561,558,0,1,30,04/21/2019 19:22:27,04/25/2019 02:03:39
27,2018,20,1,226,0,3,0,1,05/15/2018 02:22:39,05/15/2018 02:22:39
28,2018,20,1,11,10,0,0,10,05/17/2018 01:34:44,05/17/2018 01:34:44
29,2018,20,1,1,0,0,0,1,05/19/2018 17:21:00,05/19/2018 17:21:00
29,2018,30,1,118,0,1,0,2,07/28/2018 15:07:44,07/28/2018 15:07:44
15,2018,21,1,2658,1,8,0,1,05/22/2018 21:36:41,05/22/2018 21:36:41
15,2018,25,2,52,85,0,0,8,06/18/2018 16:00:01,06/18/2018 19:43:10
15,2018,26,1,9,7,0,0,1,06/26/2018 16:10:13,06/26/2018 16:10:13
15,2018,27,3,1072,875,5,0,97,07/03/2018 14:56:34,07/05/2018 23:41:57
15,2018,28,1,13,13,0,0,1,07/13/2018 16:32:56,07/13/2018 16:32:56
15,2018,29,1,853,1262,2,0,59,07/18/2018 20:59:13,07/18/2018 20:59:13
